threads,client_threads,workload,dist,throughput_ops_per_sec
4,160,ycsba,zipfian,10828306
5,8,ycsba,zipfian,2472154
5,16,ycsba,zipfian,5007729
5,32,ycsba,zipfian,9032180
5,64,ycsba,zipfian,11850348
5,80,ycsba,zipfian,12359956
5,96,ycsba,zipfian,12445035
5,112,ycsba,zipfian,12663949
5,128,ycsba,zipfian,13308376
5,144,ycsba,zipfian,12930889
5,160,ycsba,zipfian,12668510
6,8,ycsba,zipfian,2469987
6,16,ycsba,zipfian,5043330
6,32,ycsba,zipfian,9333011
6,64,ycsba,zipfian,12441514
6,80,ycsba,zipfian,12734068
6,96,ycsba,zipfian,13565369
6,112,ycsba,zipfian,13042879
6,128,ycsba,zipfian,12975332
6,144,ycsba,zipfian,13162012
6,160,ycsba,zipfian,13160271
7,8,ycsba,zipfian,2449890
7,16,ycsba,zipfian,5056387
7,32,ycsba,zipfian,9798732
7,64,ycsba,zipfian,12471488
7,80,ycsba,zipfian,13193453
7,96,ycsba,zipfian,12901921
7,112,ycsba,zipfian,12867702
7,128,ycsba,zipfian,13122015
7,144,ycsba,zipfian,13059996
7,160,ycsba,zipfian,13165354
8,8,ycsba,zipfian,2450617
8,16,ycsba,zipfian,5096338
8,32,ycsba,zipfian,9743184
8,64,ycsba,zipfian,12714164
8,80,ycsba,zipfian,12675271
8,96,ycsba,zipfian,12915448
8,112,ycsba,zipfian,12861214
8,128,ycsba,zipfian,12688874
8,144,ycsba,zipfian,13044959
8,160,ycsba,zipfian,13368005
